author_name,author_desc,tweet,language
Brian Roemmele,we can only see what we think is possible...,"@gak_pdx @caseyliss @jnaina @Gwimby Greg, was responding to this assertion:

https://t.co/sp705PGAJX",en
_,duck,"RT @FreddyAmazin: idc, Apple could never ever top the iconic iOS 7 update https://t.co/wydzIVfIWS",en
Norris,JHS '17,RT @CauseWereWasted: The only Apple product that's loyal and lasts forever. https://t.co/E6tqSvYVQp,en
Jazz,,RT @_SydWrites: Apple really raised the bar with this commercial https://t.co/9JHWFhlxVY,en
Fitness Shape,Get in shape with @MyTraining. Download the FREE iPhone App:,"hi, I saw that you're a fitness fan, so I encourage u to see my new app, it's called ""my training"" on apple store https://t.co/c6beDrcG2j",en
Workout Runner,Get in shape with @MyTraining. Download the FREE iPhone App:,"hello, I checked that u are a gym fan, so I suggest you to check my iOS app, it's known as ""mytraining"" on Apple https://t.co/TUaGWNFNIO",en
Brisa,Xc & Track,RT @basicallylewis: I paid for apple not fucking samsung https://t.co/IQ1ovDX0gS,en
GiselleNoLyonBieber,"#PreOrderUpAtNight
sc: giselle_05","RT @FreddyAmazin: idc, Apple could never ever top the iconic iOS 7 update https://t.co/wydzIVfIWS",en
Handled,"Self-employed, genious, billionaire, playboy, philanthropist and motorboatin son of a bitch","@JamesHollar2 ""If it ain't broke, we'll fix it until it is"" - Apple",en
Daniel D. Hicks,"FLSP | News, analysis & commentary.",RT @karaswisher: Not me! But who will buy Twitter? We ranked all the possible buyers. https://t.co/cDt2EYI8cH via @Recode,en
Gym Abs,Get in shape with @MyTraining. Download the FREE iPhone App:,"hi, I saw that you're a exercise fan, so I encourage u to check my iOS app, it's known as MyTraining on Apple https://t.co/6s6A2teTSX",en
Wes Griggs,Gold Medal DM Diver,Yo @Ookayx why is this a thing on Apple Music?? https://t.co/fcN1rf4ea9,en
Fitness Gain,Get in shape with @MyTraining. Download the FREE iPhone App:,"hello, I noticed that you're a health lover, so I ask you to check my iOS app, it's called MyTraining on Apple https://t.co/hET3Pzc4LR",en
Erik Acevedo,Snap Chat: Erik_714 Instagram: Erik_714. Follow Me,RT @katkennedy_: IM FUCKING DYING https://t.co/kauxzcHDVs,en
Taylor,Hairstylist/Makeup Artist. Instagram: _TaylorJay Snapchat: lululassie,RT @ihateMORGZ: They kill me w| that! https://t.co/Rp6BVETys8,en
Hellen George,,Top 7 Bogus Health Claims About Apple Cider Vinegar; A Must Read - https://t.co/DEGKhUD7GX https://t.co/IOnzvgANFi,en
Cristian G.,#PerfectIllusion,RT @minxiexcx: Listen to Perfect Illusion by Lady Gaga on Apple Music https://t.co/oj21hNLScE,en
$teff,UCI,I HATE THE NEW APPLE MUSIC UPDATE WITH THE IOS 10 I HATE IT I HATE IT,en
chinita,"roots from Texas, soul from Florida.",They threw acid in her face -- now she's a model - CNN https://t.co/uMhHuVvwXX,en
Mike,"https://www.facebook.com/mike.mian.3 
I will accept FB friend requests as well.","RT @TechCrunch: Twitter launches on Apple TV, Fire TV and Xbox One https://t.co/xvvmBbcG5B",en
